CRS,municipio
6ª CRS,Gentil
6ª CRS,Ibiaçá
6ª CRS,Ibiraiaras
6ª CRS,Ibirapuitã
6ª CRS,Itapuca
6ª CRS,Lagoa dos Três Cantos
6ª CRS,Lagoa Vermelha
6ª CRS,Lagoão
6ª CRS,Machadinho
6ª CRS,Marau
6ª CRS,Mato Castelhano
6ª CRS,Maximiliano de Almeida
6ª CRS,Montauri
6ª CRS,Mormaço
6ª CRS,Muliterno
6ª CRS,Não-Me-Toque
6ª CRS,Nicolau Vergueiro
6ª CRS,Nova Alvorada
6ª CRS,Paim Filho
6ª CRS,Passo Fundo
6ª CRS,Pontão
6ª CRS,Sananduva
6ª CRS,Santa Cecília do Sul
6ª CRS,Santo Antônio do Palma
6ª CRS,Santo Antônio do Planalto
6ª CRS,Santo Expedito do Sul
6ª CRS,São Domingos do Sul
6ª CRS,São João da Urtiga
6ª CRS,São José do Ouro
6ª CRS,Serafina Corrêa
6ª CRS,Sertão
6ª CRS,Soledade
6ª CRS,Tapejara
6ª CRS,Tapera
6ª CRS,Tio Hugo
6ª CRS,Tunas
6ª CRS,Tupanci do Sul
6ª CRS,Vanini
6ª CRS,Victor Graeff
6ª CRS,Vila Lângaro
6ª CRS,Vila Maria
7ª CRS,Aceguá
7ª CRS,Bagé
7ª CRS,Candiota
7ª CRS,Dom Pedrito
7ª CRS,Hulha Negra
7ª CRS,Lavras do Sul
8ª CRS,Arroio do Tigre
8ª CRS,Caçapava do Sul
8ª CRS,Cachoeira do Sul
8ª CRS,Cerro Branco
8ª CRS,Encruzilhada do Sul
8ª CRS,Estrela Velha
8ª CRS,Ibarama
8ª CRS,Lagoa Bonita do Sul
8ª CRS,Novo Cabrais
8ª CRS,Passa Sete
8ª CRS,Segredo
8ª CRS,Sobradinho
9ª CRS,Boa Vista do Cadeado
9ª CRS,Boa Vista do Incra
9ª CRS,Colorado
9ª CRS,Cruz Alta
9ª CRS,Fortaleza dos Valos
9ª CRS,Ibirubá
9ª CRS,Jacuizinho
9ª CRS,Quinze de Novembro
9ª CRS,Saldanha Marinho
9ª CRS,Salto do Jacuí
9ª CRS,Santa Bárbara do Sul
9ª CRS,Selbach
9ª CRS,Tupanciretã
10ª CRS,Alegrete
10ª CRS,Barra do Quaraí
10ª CRS,Itaqui
10ª CRS,Maçambara
10ª CRS,Manoel Viana
10ª CRS,Quaraa
10ª CRS,Rosário do Sul
10ª CRS,Santa Margarida do Sul
10ª CRS,Santana do Livramento
10ª CRS,São Gabriel
10ª CRS,Uruguaiana
11ª CRS,Aratiba
11ª CRS,Áurea
11ª CRS,Barão de Cotegipe
11ª CRS,Barra do Rio Azul
11ª CRS,Benjamin Constant do Sul
11ª CRS,Campinas do Sul
11ª CRS,Carlos Gomes
11ª CRS,Centenário
11ª CRS,Charrua
11ª CRS,Cruzaltense
